date,industry,gross_output_change
12/31/1998,all,5.4
12/31/1999,all,5.1
12/31/2000,all,4.5
12/31/2001,all,0.0
12/31/2002,all,0.7
12/31/2003,all,2.3
12/31/2004,all,3.6
12/31/2005,all,3.9
12/31/2006,all,2.2
12/31/2007,all,2.0
12/31/2008,all,-1.3
12/31/2009,all,-5.5
12/31/2010,all,3.3
12/31/2011,all,2.2
12/31/2012,all,2.6
12/31/2013,all,2.1
12/31/2014,all,3.0
12/31/2015,all,2.6
12/31/2016,all,1.8
12/31/2017,all,2.3
12/31/2018,all,2.9
12/31/2019,all,1.8
12/31/1998,farms,0.6
12/31/1999,farms,2.3
12/31/2000,farms,1.3
12/31/2001,farms,-1.3
12/31/2002,farms,-0.4
12/31/2003,farms,2.9
12/31/2004,farms,2.8
12/31/2005,farms,0.7
12/31/2006,farms,0.6
12/31/2007,farms,0.3
12/31/2008,farms,-2.1
12/31/2009,farms,4.8
12/31/2010,farms,0.2
12/31/2011,farms,-3.4
12/31/2012,farms,0.9
12/31/2013,farms,6.3
12/31/2014,farms,2.6
12/31/2015,farms,2.1
12/31/2016,farms,6.0
12/31/2017,farms,1.2
12/31/2018,farms,0.6
12/31/2019,farms,-0.4
12/31/1998,oil_and_gas,-2.6
12/31/1999,oil_and_gas,-2.1
12/31/2000,oil_and_gas,4.0
12/31/2001,oil_and_gas,3.8
12/31/2002,oil_and_gas,-6.2
12/31/2003,oil_and_gas,0.2
12/31/2004,oil_and_gas,-3.6
12/31/2005,oil_and_gas,-0.7
12/31/2006,oil_and_gas,0.8
12/31/2007,oil_and_gas,1.3
12/31/2008,oil_and_gas,6.0
12/31/2009,oil_and_gas,8.7
12/31/2010,oil_and_gas,3.9
12/31/2011,oil_and_gas,10.0
12/31/2012,oil_and_gas,11.0
12/31/2013,oil_and_gas,10.2
12/31/2014,oil_and_gas,12.8
12/31/2015,oil_and_gas,-2.1
12/31/2016,oil_and_gas,-4.3
12/31/2017,oil_and_gas,7.7
12/31/2018,oil_and_gas,15.6
12/31/2019,oil_and_gas,8.3
12/31/1998,utilities,5.1
12/31/1999,utilities,19.4
12/31/2000,utilities,10.1
12/31/2001,utilities,9.0
12/31/2002,utilities,-23.7
12/31/2003,utilities,-5.0
12/31/2004,utilities,-2.7
12/31/2005,utilities,6.1
12/31/2006,utilities,-3.6
12/31/2007,utilities,5.1
12/31/2008,utilities,7.8
12/31/2009,utilities,-11.2
12/31/2010,utilities,10.8
12/31/2011,utilities,-3.8
12/31/2012,utilities,-0.8
12/31/2013,utilities,2.5
12/31/2014,utilities,2.8
12/31/2015,utilities,0.7
12/31/2016,utilities,-4.4
12/31/2017,utilities,-2.4
12/31/2018,utilities,2.1
