date,unemployment,state
1/1/2010,11.4,nc
2/1/2010,11.4,nc
3/1/2010,11.4,nc
4/1/2010,11.2,nc
5/1/2010,11,nc
6/1/2010,10.7,nc
7/1/2010,10.6,nc
8/1/2010,10.5,nc
9/1/2010,10.4,nc
10/1/2010,10.4,nc
11/1/2010,10.4,nc
12/1/2010,10.4,nc
1/1/2011,10.4,nc
2/1/2011,10.3,nc
3/1/2011,10.3,nc
4/1/2011,10.3,nc
5/1/2011,10.3,nc
6/1/2011,10.4,nc
7/1/2011,10.5,nc
8/1/2011,10.4,nc
9/1/2011,10.3,nc
10/1/2011,10.2,nc
11/1/2011,10,nc
12/1/2011,9.8,nc
1/1/2012,9.6,nc
2/1/2012,9.5,nc
3/1/2012,9.4,nc
4/1/2012,9.4,nc
5/1/2012,9.4,nc
6/1/2012,9.3,nc
7/1/2012,9.3,nc
8/1/2012,9.2,nc
9/1/2012,9.2,nc
10/1/2012,9.1,nc
11/1/2012,9.1,nc
12/1/2012,9,nc
1/1/2013,8.9,nc
2/1/2013,8.8,nc
3/1/2013,8.6,nc
4/1/2013,8.4,nc
5/1/2013,8.2,nc
6/1/2013,8.1,nc
7/1/2013,7.9,nc
8/1/2013,7.7,nc
9/1/2013,7.5,nc
10/1/2013,7.3,nc
11/1/2013,7.1,nc
12/1/2013,7,nc
1/1/2014,6.8,nc
2/1/2014,6.7,nc
3/1/2014,6.6,nc
4/1/2014,6.5,nc
5/1/2014,6.5,nc
6/1/2014,6.4,nc
7/1/2014,6.3,nc
8/1/2014,6.2,nc
9/1/2014,6.1,nc
10/1/2014,6,nc
11/1/2014,5.9,nc
12/1/2014,5.8,nc
1/1/2015,5.7,nc
2/1/2015,5.8,nc
3/1/2015,5.8,nc
4/1/2015,5.9,nc
5/1/2015,5.9,nc
6/1/2015,5.9,nc
7/1/2015,5.8,nc
8/1/2015,5.7,nc
9/1/2015,5.6,nc
10/1/2015,5.5,nc
11/1/2015,5.4,nc
12/1/2015,5.3,nc
1/1/2016,5.3,nc
2/1/2016,5.2,nc
3/1/2016,5.1,nc
4/1/2016,5.1,nc
5/1/2016,5,nc
6/1/2016,5,nc
7/1/2016,5,nc
8/1/2016,5,nc
9/1/2016,5.1,nc
10/1/2016,5.1,nc
11/1/2016,5.1,nc
12/1/2016,5,nc
1/1/2017,4.9,nc
2/1/2017,4.8,nc
3/1/2017,4.6,nc
4/1/2017,4.5,nc
5/1/2017,4.5,nc
6/1/2017,4.4,nc
7/1/2017,4.4,nc
8/1/2017,4.4,nc
9/1/2017,4.3,nc
10/1/2017,4.3,nc
11/1/2017,4.3,nc
12/1/2017,4.2,nc
1/1/2018,4.2,nc
2/1/2018,4.1,nc
3/1/2018,4.1,nc
4/1/2018,4,nc
5/1/2018,4,nc
