date,unemployment,imports,avgsalary
1/1/2010,9.8,125.9,22.41
2/1/2010,9.8,125.8,22.45
3/1/2010,9.9,126.3,22.45
4/1/2010,9.9,127.7,22.49
5/1/2010,9.6,126.7,22.53
6/1/2010,9.4,125.2,22.53
7/1/2010,9.4,125.2,22.59
8/1/2010,9.5,125.7,22.62
9/1/2010,9.5,125.7,22.67
10/1/2010,9.4,127.1,22.74
11/1/2010,9.8,129.2,22.73
12/1/2010,9.3,131,22.76
1/1/2011,9.1,133,22.85
2/1/2011,9,135.3,22.87
3/1/2011,9,139.3,22.87
4/1/2011,9.1,142.9,22.92
5/1/2011,9,143.1,22.99
6/1/2011,9.1,142.2,23.01
7/1/2011,9,142.4,23.1
8/1/2011,9,141.9,23.07
9/1/2011,9,141.7,23.11
10/1/2011,8.8,141.2,23.21
11/1/2011,8.6,142.2,23.18
12/1/2011,8.5,142.2,23.21
1/1/2012,8.3,142.2,23.24
2/1/2012,8.3,142.2,23.27
3/1/2012,8.2,144.2,23.36
4/1/2012,8.2,144.1,23.39
5/1/2012,8.2,142,23.39
6/1/2012,8.2,138.7,23.46
7/1/2012,8.2,137.7,23.51
8/1/2012,8.1,139.4,23.49
9/1/2012,7.8,140.8,23.57
10/1/2012,7.8,141.2,23.56
11/1/2012,7.7,140.2,23.63
12/1/2012,7.9,139.4,23.73
1/1/2013,8,140.1,23.76
2/1/2013,7.7,141.3,23.77
3/1/2013,7.5,141.2,23.81
4/1/2013,7.6,140.2,23.87
5/1/2013,7.5,139.4,23.89
6/1/2013,7.5,138.8,23.97
7/1/2013,7.3,138.9,23.98
8/1/2013,7.2,139.4,24.03
9/1/2013,7.2,139.8,24.06
10/1/2013,7.2,138.9,24.09
11/1/2013,6.9,137.7,24.16
12/1/2013,6.7,137.8,24.17
1/1/2014,6.6,138.3,24.21
2/1/2014,6.7,139.8,24.32
3/1/2014,6.7,140.5,24.31
4/1/2014,6.2,139.7,24.34
5/1/2014,6.3,140.1,24.4
6/1/2014,6.1,140.5,24.44
7/1/2014,6.2,140.1,24.48
8/1/2014,6.1,139,24.55
9/1/2014,5.9,137.9,24.56
10/1/2014,5.7,136,24.58
11/1/2014,5.8,133.5,24.65
12/1/2014,5.6,130.1,24.65
1/1/2015,5.7,126,24.73
2/1/2015,5.5,125.5,24.78
3/1/2015,5.4,125.3,24.84
4/1/2015,5.4,125.1,24.89
5/1/2015,5.6,126.5,24.96
6/1/2015,5.3,126.6,24.98
7/1/2015,5.2,125.4,25
8/1/2015,5.1,123.2,25.1
9/1/2015,5,121.9,25.11
10/1/2015,5,121.5,25.19
11/1/2015,5.1,120.8,25.24
12/1/2015,5,119.3,25.27
1/1/2016,4.9,117.8,25.36
2/1/2016,4.9,117.2,25.38
3/1/2016,5,117.7,25.45
4/1/2016,5,118.5,25.53
5/1/2016,4.8,119.9,25.58
6/1/2016,4.9,120.7,25.63
7/1/2016,4.8,120.8,25.7
8/1/2016,4.9,120.5,25.72
9/1/2016,5,120.6,25.77
10/1/2016,4.9,121.2,25.88
11/1/2016,4.7,121.1,25.91
12/1/2016,4.7,121.6,25.94
1/1/2017,4.7,122.3,26
2/1/2017,4.6,122.7,26.08
3/1/2017,4.4,122.5,26.11
4/1/2017,4.4,122.8,26.17
5/1/2017,4.4,122.7,26.21
6/1/2017,4.3,122.4,26.27
7/1/2017,4.3,122.2,26.36
8/1/2017,4.4,122.9,26.38
9/1/2017,4.2,123.9,26.51
10/1/2017,4.1,124.1,26.48
11/1/2017,4.2,125.3,26.55
12/1/2017,4.1,125.5,26.64
1/1/2018,4.1,126.5,26.71
2/1/2018,4.1,126.8,26.75
3/1/2018,4,126.5,26.84
4/1/2018,4,127.1,26.91
5/1/2018,3.8,128.2,26.98
6/1/2018,4,128.2,27.04
7/1/2018,3.8,128.1,27.11
8/1/2018,3.8,127.6,27.22
9/1/2018,3.7,127.7,27.31
10/1/2018,3.8,128.3,27.36
11/1/2018,3.7,126.2,27.44
12/1/2018,3.9,124.4,27.54
1/1/2019,4,124.6,27.58
2/1/2019,3.8,125.9,27.69
3/1/2019,3.8,126.6,27.76
4/1/2019,3.6,126.8,27.81
5/1/2019,3.6,127,27.87
6/1/2019,3.7,125.6,27.96
7/1/2019,3.7,125.6,28.05
8/1/2019,3.7,124.9,28.16
9/1/2019,3.5,125,28.16
10/1/2019,3.6,124.5,28.24
11/1/2019,3.5,124.7,28.34
12/1/2019,3.5,125,28.37
1/1/2020,3.6,125.2,28.43
2/1/2020,3.5,124.3,28.52
3/1/2020,4.4,121.3,28.69
4/1/2020,14.7,118.2,30.03
5/1/2020,13.3,119,29.7
6/1/2020,11.1,120.6,29.32
7/1/2020,10.2,122.1,29.35
8/1/2020,8.4,123.1,29.45
9/1/2020,7.9,123.3,29.47
10/1/2020,6.9,123.2,29.49
